Date,SPF,DJF,Oil,GOLD,USD,TBF,TN5,SPFy,SPFclose,DJFy,DJFclose,GOLDy,GOLDclose,Oily,Oilclose,USDy,USDclose,TBFy,TBFclose,TN5y,TN5close
2000-01-04,,,,,,,,1.0301034140813146,1411.8,,,1.002664298401421,281.5,1.008610567514677,25.55,1.0015984015984016,100.1,0.9848275862068966,90.625,0.9937764302242081,97.9140625
2000-01-05,0.001204136563252689,,-0.025048923679060642,-0.003730017761989335,-0.0004995004995004271,-0.010339310344827601,-0.003750099736695156,1.0201627166607712,1413.5,,,1.0064182563736852,280.45,1.0549979927739863,24.91,1.00279860069965,100.05,0.9968557666577469,89.688,0.9957552458753804,97.546875
2000-01-06,-0.006720905553590395,,-0.005218787635487665,-0.0037439828846497214,0.0028985507246377384,0.008005530282757967,0.0017619734102194418,1.0388176638176638,1404.0,,,1.0096635647816752,279.4,1.0770782889426957,24.78,1.0032888180187363,100.34,0.9986173484060793,90.406,0.9983210745123121,97.71875
2000-01-07,0.04024216524216517,,-0.0225988700564973,0.009663564781675182,0.0015945784333266655,0.005884565183726709,0.002238567316917184,1.0119821978774393,1460.5,,,1.0042538107054235,282.1,1.156895127993394,24.22,1.009452736318408,100.5,0.9869361543029317,90.938,0.9938576898532228,97.9375
2000-01-10,0.00992810681273526,,0.01857968620974404,-0.0017724211272598378,0.0014925373134329067,-0.004134685170115948,-0.002233567326100805,0.9962711864406779,1475.0,,,1.0133167613636365,281.6,1.169436562626672,24.67,1.0113263785394933,100.65,0.9851703805127978,90.562,0.9937639910457308,97.71875
2000-01-11,-0.014033898305084724,,0.04458856911228204,0.0023082386363635354,-0.003874813710879277,-0.01448731255935154,-0.004237288135593209,1.0125146118407482,1454.3,,,1.012577502214349,282.25,1.1462941404734186,25.77,1.0138639537203271,100.26,1.0031484593837536,89.25,0.9991971095945403,97.3046875
2000-01-12,-0.008457677233033034,,0.019790454016298087,0.0,0.0006981847197287117,0.0017478991596640014,-0.001766358892011266,1.0104022191400832,1442.0,,,1.0191319751992913,282.25,1.1286149162861492,26.28,1.0112628326522475,100.33,1.0,89.406,0.9994369822247245,97.1328125
2000-01-13,0.011442441054091645,,0.015601217656012079,-0.0005314437555358209,0.0033888169042162186,0.009786815202559085,0.004343279980696613,0.9967089475488516,1458.5,,,1.021269053527118,282.1,1.0565754964406144,26.69,1.0047680540379458,100.67,0.9937749914156909,90.281,0.9951149195162969,97.5546875
2000-01-14,0.013369900582790528,,0.04983139752716359,0.004253810705423522,0.007748087811661808,-0.005881636224676301,-0.002242332025306326,0.9552097428958051,1478.0,,,1.0157077303212143,283.3,0.9932191291934332,28.02,1.000591424346969,101.45,1.006618384401114,89.75,1.0007223693715386,97.3359375
2000-01-17,,,,0.0072361454288740745,0.0033514046328240177,,,,,,,1.0064832661643595,285.35,,,1.001670105118381,101.79,,,,
2000-01-18,-0.005751014884979755,,0.029621698786581163,0.0015770106886279223,-0.0013753806857255135,-0.0059164345403900365,-0.002327634641624554,0.9653623681524327,1469.5,,,1.0076976906927921,285.8,0.9802426343154246,28.85,1.0049188391539596,101.65,1.01541151548437,89.219,1.0025744167337087,97.109375
2000-01-19,0.0020415107179312386,,0.023916811091854395,0.006473058082575145,-0.0018691588785048063,0.0034970129680897966,0.0012067578439258764,0.9612224108658745,1472.5,,,0.9939162176255867,287.65,0.9424509140148951,29.54,1.0078848807411789,101.46,1.019200053612715,89.531,1.0002410606669345,97.2265625
2000-01-20,-0.010526315789473717,,0.004062288422478133,0.0015644011819921921,-0.0030553912872066658,-0.0013961644570037457,-0.0015267175572518665,0.9676046671242279,1457.0,,,0.9911489066296425,288.1,0.921105866486851,29.66,1.0185862580326248,101.15,1.028320246963291,89.406,0.9996780943183647,97.078125
2000-01-21,-0.0022649279341111495,,-0.04922454484153749,-0.001214855952794247,0.0035590706870982647,0.003500883609601102,0.0,0.9400151337965192,1453.7,,,0.996524761077324,287.75,0.9652482269503546,28.2,1.0278790266968771,101.51,1.0355220187474226,89.719,0.9991952357959119,97.078125
2000-01-24,-0.02882300337070931,,-0.013120567375886516,-0.0019113814074718238,0.004433060782188747,0.006966194451565544,0.0033800096571705573,0.992350191245219,1411.8,,,0.9864206128133706,287.2,0.9931728350700684,27.83,1.0295213809336996,101.96,1.0207540069069334,90.344,0.9943856272056465,97.40625
2000-01-25,0.004816546253010312,,0.016169601149838453,0.0027855153203342198,0.0018634758728914846,0.0027672009209245285,-0.0004812319538017862,0.998731143380798,1418.6,,,0.9826388888888888,288.0,0.9978783592644977,28.28,1.0256485560450317,102.15,1.0251782678764598,90.594,0.9953458513882202,97.359375
2000-01-26,-0.002255745100803508,,-0.015558698727015652,-0.007291666666666696,0.0010768477728830828,0.007241097644435701,-0.001123415182153753,1.000070651405963,1415.4,,,0.9989506820566634,285.9,0.9895833333333334,27.84,1.0226872677488754,102.26,1.024317808219178,91.25,0.99646529562982,97.25
