date,open,high,low,close,volume,average,barCount
2004-01-23 08:30:00,115.015,115.155,114.895,115.005,-1,-1.0,-1
2004-01-23 09:00:00,115.005,115.335,114.92,115.285,-1,-1.0,-1
2004-01-23 09:30:00,115.285,115.345,114.895,114.955,-1,-1.0,-1
2004-01-23 10:00:00,114.955,115.04,114.81,114.855,-1,-1.0,-1
2004-01-23 10:30:00,114.855,115.05,114.835,114.965,-1,-1.0,-1
2004-01-23 11:00:00,114.965,114.965,114.65,114.7,-1,-1.0,-1
2004-01-23 11:30:00,114.7,114.725,114.435,114.55,-1,-1.0,-1
2004-01-23 12:00:00,114.55,114.645,114.51,114.53,-1,-1.0,-1
2004-01-23 12:30:00,114.53,114.62,114.335,114.34,-1,-1.0,-1
2004-01-23 13:00:00,114.34,114.37,114.19,114.305,-1,-1.0,-1
2004-01-23 13:30:00,114.305,114.5,114.255,114.39,-1,-1.0,-1
2004-01-23 14:00:00,114.39,114.39,113.975,114.025,-1,-1.0,-1
2004-01-23 14:30:00,114.025,114.445,114.025,114.37,-1,-1.0,-1
2004-01-23 15:00:00,114.37,114.505,114.34,114.465,-1,-1.0,-1
2004-01-26 08:30:00,114.38,114.755,114.38,114.675,-1,-1.0,-1
2004-01-26 09:00:00,114.675,114.715,114.465,114.47,-1,-1.0,-1
2004-01-26 09:30:00,114.47,114.79,114.445,114.715,-1,-1.0,-1
2004-01-26 10:00:00,114.715,114.785,114.405,114.515,-1,-1.0,-1
2004-01-26 10:30:00,114.515,114.61,114.45,114.61,-1,-1.0,-1
2004-01-26 11:00:00,114.61,114.715,114.56,114.695,-1,-1.0,-1
2004-01-26 11:30:00,114.695,114.705,114.485,114.67,-1,-1.0,-1
2004-01-26 12:00:00,114.67,114.76,114.615,114.745,-1,-1.0,-1
2004-01-26 12:30:00,114.745,114.85,114.665,114.685,-1,-1.0,-1
2004-01-26 13:00:00,114.685,115.12,114.685,115.1,-1,-1.0,-1
2004-01-26 13:30:00,115.1,115.315,115.075,115.315,-1,-1.0,-1
2004-01-26 14:00:00,115.315,115.68,115.285,115.645,-1,-1.0,-1
2004-01-26 14:30:00,115.645,115.89,115.605,115.815,-1,-1.0,-1
2004-01-26 15:00:00,115.815,115.92,115.81,115.88,-1,-1.0,-1
2004-01-27 09:00:00,115.71,115.835,115.71,115.73,-1,-1.0,-1
2004-01-27 09:30:00,115.73,115.8,115.585,115.605,-1,-1.0,-1
2004-01-27 10:00:00,115.605,115.65,115.33,115.36,-1,-1.0,-1
2004-01-27 10:30:00,115.36,115.495,115.315,115.355,-1,-1.0,-1
2004-01-27 11:00:00,115.355,115.355,115.08,115.14,-1,-1.0,-1
2004-01-27 11:30:00,115.14,115.225,115.06,115.15,-1,-1.0,-1
2004-01-27 12:00:00,115.15,115.185,114.755,114.84,-1,-1.0,-1
2004-01-27 12:30:00,114.84,115.055,114.835,115.045,-1,-1.0,-1
2004-01-27 13:00:00,115.045,115.065,114.83,115.0,-1,-1.0,-1
2004-01-27 13:30:00,115.0,115.15,114.99,114.995,-1,-1.0,-1
2004-01-27 14:00:00,114.995,115.085,114.79,114.895,-1,-1.0,-1
2004-01-27 14:30:00,114.895,114.965,114.705,114.72,-1,-1.0,-1
2004-01-27 15:00:00,114.72,114.765,114.66,114.695,-1,-1.0,-1
2004-01-28 08:30:00,114.97,115.12,114.96,115.12,-1,-1.0,-1
2004-01-28 09:00:00,115.12,115.245,114.98,115.165,-1,-1.0,-1
2004-01-28 09:30:00,115.165,115.195,115.09,115.195,-1,-1.0,-1
2004-01-28 10:00:00,115.195,115.25,115.065,115.095,-1,-1.0,-1
2004-01-28 10:30:00,115.095,115.205,115.09,115.155,-1,-1.0,-1
2004-01-28 11:00:00,115.155,115.155,115.035,115.075,-1,-1.0,-1
2004-01-28 11:30:00,115.075,115.1,115.03,115.07,-1,-1.0,-1
2004-01-28 12:00:00,115.07,115.15,115.03,115.1,-1,-1.0,-1
2004-01-28 12:30:00,115.1,115.2,115.1,115.155,-1,-1.0,-1
2004-01-28 13:00:00,115.155,115.195,113.945,114.185,-1,-1.0,-1
2004-01-28 13:30:00,114.185,114.215,113.49,113.9,-1,-1.0,-1
2004-01-28 14:00:00,113.9,113.995,113.365,113.365,-1,-1.0,-1
2004-01-28 14:30:00,113.365,113.37,112.945,113.24,-1,-1.0,-1
2004-01-28 15:00:00,113.24,113.405,113.24,113.365,-1,-1.0,-1
2004-02-02 08:30:00,113.665,113.86,113.625,113.815,-1,-1.0,-1
2004-02-02 09:00:00,113.815,113.82,113.29,113.485,-1,-1.0,-1
2004-02-02 09:30:00,113.485,113.535,113.14,113.22,-1,-1.0,-1
2004-02-02 10:00:00,113.22,113.42,113.14,113.42,-1,-1.0,-1
2004-02-02 10:30:00,113.42,114.095,113.415,114.08,-1,-1.0,-1
2004-02-02 11:00:00,114.08,114.285,113.96,114.255,-1,-1.0,-1
2004-02-02 11:30:00,114.255,114.65,114.15,114.52,-1,-1.0,-1
2004-02-02 12:00:00,114.52,114.6,114.395,114.6,-1,-1.0,-1
2004-02-02 12:30:00,114.6,114.625,114.4,114.495,-1,-1.0,-1
2004-02-02 13:00:00,114.495,114.55,114.37,114.55,-1,-1.0,-1
2004-02-02 13:30:00,114.55,114.555,114.34,114.495,-1,-1.0,-1
2004-02-02 14:00:00,114.495,114.525,114.145,114.255,-1,-1.0,-1
2004-02-02 14:30:00,114.255,114.255,113.39,113.845,-1,-1.0,-1
2004-02-02 15:00:00,113.845,113.965,113.835,113.935,-1,-1.0,-1
2004-02-03 08:30:00,113.725,113.915,113.455,113.845,-1,-1.0,-1
2004-02-03 09:00:00,113.845,114.0,113.77,113.92,-1,-1.0,-1
2004-02-03 09:30:00,113.92,113.935,113.53,113.905,-1,-1.0,-1
2004-02-03 10:00:00,113.905,113.99,113.76,113.935,-1,-1.0,-1
2004-02-03 10:30:00,113.935,113.945,113.65,113.72,-1,-1.0,-1
2004-02-03 11:00:00,113.72,114.07,113.685,113.985,-1,-1.0,-1
2004-02-03 11:30:00,113.985,114.055,113.945,114.005,-1,-1.0,-1
2004-02-03 12:00:00,114.005,114.12,113.89,113.985,-1,-1.0,-1
2004-02-03 12:30:00,113.985,114.015,113.905,113.975,-1,-1.0,-1
2004-02-03 13:00:00,113.975,114.05,113.725,113.79,-1,-1.0,-1
2004-02-03 13:30:00,113.79,113.83,113.59,113.785,-1,-1.0,-1
2004-02-03 14:00:00,113.785,113.975,113.76,113.86,-1,-1.0,-1
2004-02-03 14:30:00,113.86,113.985,113.785,113.955,-1,-1.0,-1
2004-02-03 15:00:00,113.955,114.035,113.78,113.785,-1,-1.0,-1
2004-02-04 08:30:00,113.17,113.345,113.14,113.215,-1,-1.0,-1
